Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
49,0.136111,-3.943306,23.099771,4.632614,-263.742493,1450.841064,109.265076,-0.781934,-5.63578,-2.832046,-252.184845,1349.17749,100.115089
50,0.138889,148.804764,-14.663865,173.159866,-264.608337,1449.34375,110.266106,-0.574358,-5.767502,-2.645156,-252.204803,1349.152466,100.126144
51,0.141667,148.812698,-14.682643,173.137253,-264.605011,1449.354736,110.263115,-0.756933,-5.647675,-2.767415,-252.186829,1349.183716,100.111229
52,0.144444,-3.873335,23.031086,4.40422,-263.728912,1450.855957,109.313904,-0.571044,-5.766138,-2.61265,-252.201172,1349.145386,100.130943
53,0.147222,148.814529,-14.673748,173.134247,-264.596771,1449.34082,110.2547,-0.840803,-5.657638,-2.777063,-252.183472,1349.172729,100.097557
54,0.15,-3.93819,23.126108,4.670457,-263.745239,1450.829834,109.258858,-0.841807,-5.644105,-2.762642,-252.188202,1349.157959,100.096382
55,0.152778,148.491623,-14.441076,172.931732,-264.600372,1449.282471,110.210098,-0.713279,-5.77935,-2.623467,-252.201675,1349.12561,100.115028
56,0.155556,148.491852,-14.498188,172.960815,-264.595093,1449.264404,110.200645,-0.891394,-5.673304,-2.71784,-252.171097,1349.145264,100.132011
57,0.158333,148.558563,-14.560701,172.949295,-264.629395,1449.252075,110.164177,-1.071372,-5.888544,-2.650088,-252.172058,1349.048828,100.082375
58,0.161111,-4.180902,22.989824,4.566533,-263.717041,1450.743652,109.277985,-1.291737,-5.801026,-2.698811,-252.1539,1349.063843,100.067856
59,0.163889,-87.487747,-77.803726,117.825409,-262.90448,1449.727295,111.081337,-1.302647,-5.796691,-2.81933,-252.157623,1349.047729,100.061996
60,0.166667,148.416245,-14.465656,172.965668,-264.599365,1449.227295,110.201912,-1.384576,-5.775408,-2.823344,-252.157593,1349.047485,100.066795
61,0.169444,-85.363632,-77.156296,117.699867,-262.941254,1449.606812,110.96022,-1.3325,-5.810341,-2.679655,-252.149612,1349.028442,100.050598
62,0.172222,-87.567451,-79.297569,118.482666,-262.85965,1449.366577,111.099564,-1.238715,-5.923492,-2.672667,-252.17601,1349.015137,100.068947
63,0.175,148.457565,-14.549978,172.975113,-264.609039,1449.198975,110.136749,-1.196455,-5.923387,-2.65686,-252.174728,1348.998169,100.061951
64,0.177778,148.50592,-14.519979,172.991684,-264.622284,1449.19397,110.156441,-1.18173,-5.914119,-2.651674,-252.175446,1349.003662,100.066711
65,0.180556,-4.22314,23.083796,4.688916,-263.735962,1450.728027,109.244987,-1.162755,-5.928445,-2.633323,-252.175934,1348.994385,100.060791
66,0.183333,-88.050453,-77.80513,117.345436,-262.878967,1449.69812,111.094116,-1.165859,-5.942295,-2.604892,-252.167023,1349.003418,100.069916
67,0.186111,148.462784,-14.452759,173.028992,-264.591522,1449.205688,110.192307,-1.113653,-5.955126,-2.557744,-252.164276,1348.999023,100.078392
68,0.188889,148.473221,-14.461017,173.030762,-264.585388,1449.210327,110.204697,-1.064068,-5.949044,-2.544568,-252.16452,1349.002563,100.072304
69,0.191667,-4.161909,23.113575,4.654322,-263.742279,1450.741333,109.221893,-1.25268,-5.838261,-2.67787,-252.148651,1349.044189,100.071602
70,0.194444,148.475754,-14.635028,173.152588,-264.599548,1449.261597,110.174911,-1.025262,-5.983274,-2.531716,-252.167999,1349.025269,100.082558
71,0.197222,148.608322,-14.549114,173.05101,-264.597717,1449.2229,110.159561,-1.200894,-5.844348,-2.702761,-252.146393,1349.061279,100.073502
72,0.2,148.59256,-14.516044,173.035507,-264.592194,1449.23999,110.154938,-0.985085,-5.993746,-2.575002,-252.164841,1349.041992,100.084251
73,0.202778,148.638885,-14.524455,173.038025,-264.590302,1449.24231,110.162331,-1.092942,-5.898909,-2.625296,-252.141541,1349.071289,100.078117
74,0.205556,148.486023,-14.654037,173.070435,-264.579468,1449.295898,110.167229,-0.610999,-5.888139,-2.463855,-252.201492,1349.109863,100.121033
75,0.208333,-4.183793,23.027327,4.373475,-263.716492,1450.773315,109.260994,-0.636017,-5.885934,-2.560867,-252.201889,1349.119873,100.125587
76,0.211111,148.396408,-14.592353,173.075851,-264.564606,1449.31897,110.210388,-0.591549,-5.867904,-2.56132,-252.206451,1349.129639,100.134209
77,0.213889,148.846649,-14.684151,173.158417,-264.599487,1449.333862,110.277596,-0.530042,-5.876036,-2.508027,-252.211685,1349.124023,100.133904
78,0.216667,148.824432,-14.680037,173.104111,-264.595001,1449.346802,110.26062,-0.528805,-5.88135,-2.550634,-252.210999,1349.14209,100.144104
79,0.219444,148.845627,-14.677841,173.156906,-264.596649,1449.342163,110.27829,-0.480607,-5.862409,-2.546097,-252.209457,1349.13562,100.136147
80,0.222222,148.833817,-14.693045,173.103561,-264.608246,1449.345459,110.273865,-0.526291,-5.842202,-2.564421,-252.223557,1349.154175,100.139381
81,0.225,148.836746,-14.645394,173.133011,-264.613281,1449.351196,110.281548,-0.524988,-5.860987,-2.55464,-252.230698,1349.152344,100.140907
82,0.227778,148.794891,-14.669563,173.061417,-264.599365,1449.352295,110.250999,-0.541118,-5.855851,-2.562499,-252.22522,1349.142212,100.142792
83,0.230556,148.811157,-14.660221,173.091476,-264.624359,1449.352295,110.284058,-0.548518,-5.836007,-2.593946,-252.228409,1349.146118,100.125977
84,0.233333,148.780823,-14.654167,173.061737,-264.626923,1449.355347,110.289345,-0.561355,-5.841172,-2.596266,-252.22728,1349.1427,100.124352
85,0.236111,148.829941,-14.678247,173.079651,-264.621704,1449.346191,110.281555,-0.568768,-5.853592,-2.591857,-252.226563,1349.141357,100.132973
86,0.238889,148.783508,-14.654571,173.080139,-264.60199,1449.34375,110.255623,-0.557647,-5.880686,-2.557547,-252.230698,1349.139648,100.137962
87,0.241667,148.364166,-14.598876,172.981064,-264.578369,1449.321045,110.219955,-0.572739,-5.909163,-2.540927,-252.222122,1349.124756,100.124374
88,0.244444,148.346176,-14.596116,172.944016,-264.574829,1449.324829,110.235497,-0.93289,-5.970365,-2.651814,-252.20224,1349.078369,100.109039
89,0.247222,148.3564,-14.586592,172.976791,-264.581238,1449.310669,110.220009,-0.886248,-5.982219,-2.557268,-252.20224,1349.062012,100.08223
90,0.25,148.353195,-14.615581,172.987473,-264.568573,1449.303223,110.236992,-0.90982,-5.990693,-2.618309,-252.19133,1349.052368,100.098
91,0.252778,148.328262,-14.595833,172.972198,-264.574951,1449.299438,110.216438,-0.934514,-6.000265,-2.5892,-252.198364,1349.053101,100.089943
