Frame,Time (Seconds),X9_B1,Y,Z,X9_B2,Y,Z
189,0.525,-264.687622,1449.185059,110.271126,-1.26495,-5.701629,-3.990462
190,0.527778,-263.807953,1450.709106,109.266106,-1.064358,-5.90705,-2.893103
191,0.530556,-264.685089,1449.209229,110.26709,-1.063659,-5.914987,-2.941433
192,0.533333,-264.658539,1449.272217,110.269836,-1.03584,-5.930755,-2.878453
193,0.536111,-264.682709,1449.228027,110.260452,-1.219024,-5.788935,-3.84881
194,0.538889,-264.658508,1449.297363,110.281937,-1.05179,-5.980242,-2.809635
195,0.541667,-264.663239,1449.314087,110.274483,-1.079023,-5.98852,-2.839757
196,0.544444,-264.652954,1449.318237,110.282211,-1.034173,-5.991828,-2.828583
197,0.547222,-264.654175,1449.328003,110.275688,-1.006468,-6.004748,-2.774122
198,0.55,-264.649719,1449.333496,110.281441,-1.020842,-6.040228,-2.722056
199,0.552778,-264.648224,1449.337036,110.292183,-1.018027,-6.049361,-2.716755
200,0.555556,-264.649078,1449.328613,110.285309,-1.036411,-6.056839,-2.711863
201,0.558333,-264.641998,1449.335693,110.291656,-1.03518,-6.024761,-2.74335
202,0.561111,-264.637451,1449.342285,110.27626,-1.100972,-6.018322,-2.785102
203,0.563889,-264.643616,1449.330933,110.286446,-1.114116,-6.032316,-2.803587
204,0.566667,-264.645599,1449.317871,110.286079,-1.059261,-5.996195,-2.804067
205,0.569444,-264.628601,1449.312134,110.263596,-1.076674,-6.012989,-2.759492
206,0.572222,-264.62561,1449.301025,110.279739,-1.096561,-5.987538,-2.816357
207,0.575,-264.627869,1449.284912,110.271889,-1.046731,-5.98146,-2.763453
208,0.577778,-264.663086,1449.226807,110.272224,-1.034353,-5.989982,-2.771306
209,0.580556,-264.617859,1449.270752,110.274979,-1.043891,-5.970174,-2.805247
210,0.583333,-264.370239,1450.85083,110.505302,-1.004228,-5.95618,-2.862823
211,0.586111,-264.625793,1449.244141,110.266594,-1.010011,-5.946749,-2.804456
212,0.588889,-264.622162,1449.241455,110.285278,-1.004462,-5.956779,-2.914382
213,0.591667,-262.952911,1449.199829,111.024033,-1.008507,-5.906054,-2.915025
214,0.594444,-264.621277,1449.224609,110.294846,-0.924466,-5.918835,-2.822986
215,0.597222,-263.029236,1449.556763,111.03717,-0.92226,-5.928556,-2.876043
216,0.6,-264.645508,1449.175537,110.273705,-0.888964,-5.93421,-2.9165
217,0.602778,-263.787903,1450.733398,109.339188,-0.902944,-5.935943,-2.930759
218,0.605556,-264.631836,1449.23999,110.277687,-0.837295,-5.935017,-2.895405
219,0.608333,-263.812683,1450.708862,109.282997,-0.74867,-5.985969,-2.774809
220,0.611111,-264.627869,1449.245972,110.279861,-0.745684,-5.978293,-2.839453
221,0.613889,-264.631622,1449.255005,110.283936,-0.751674,-6.019924,-2.800285
222,0.616667,-264.635468,1449.265259,110.288734,-0.700859,-6.012671,-2.848063
223,0.619444,-264.634338,1449.267944,110.291687,-0.707228,-6.031876,-2.84572
224,0.622222,-264.634827,1449.280029,110.272118,-0.692445,-6.063399,-2.716669
225,0.625,-264.636475,1449.290161,110.293022,-0.711536,-6.11096,-2.681861
226,0.627778,-264.638123,1449.301636,110.296577,-0.718256,-6.088551,-2.708959
227,0.630556,-264.633545,1449.325073,110.291649,-0.773277,-6.094063,-2.705142
228,0.633333,-264.637451,1449.333252,110.289146,-0.499775,-6.054861,-2.576265
229,0.636111,-264.635254,1449.331787,110.277832,-0.818954,-6.147521,-2.68494
230,0.638889,-264.696716,1449.301636,110.304512,-0.807761,-6.143631,-2.688498
231,0.641667,-264.684052,1449.335815,110.242165,-0.812434,-6.155902,-2.592343
232,0.644444,-264.665771,1449.289795,110.258087,-0.901355,-6.153028,-2.679546
233,0.647222,-264.642761,1449.338257,110.263458,-0.906976,-6.165872,-2.619816
234,0.65,-264.66272,1449.289063,110.260307,-0.93003,-6.140358,-2.644002
235,0.652778,-264.675629,1449.284302,110.269745,-0.940373,-6.137292,-2.622011
236,0.655556,-264.667664,1449.274902,110.269615,-0.969974,-6.121189,-2.647523
237,0.658333,-264.670197,1449.264038,110.264946,-1.013552,-6.120996,-2.724997
238,0.661111,-264.878204,1449.185669,110.405785,-0.97247,-6.087272,-2.732647
239,0.663889,-264.662781,1449.255615,110.277573,-0.928528,-6.085913,-2.664051
240,0.666667,-264.682373,1449.23938,110.226593,-0.932407,-6.090815,-2.745926
241,0.669444,-264.659302,1449.230835,110.281097,-0.893584,-6.095155,-2.73349
242,0.672222,-264.660095,1449.226807,110.287178,-0.919245,-6.088696,-2.762137
243,0.675,-264.659882,1449.231689,110.295845,-0.890306,-6.027759,-2.806221
244,0.677778,-264.687775,1449.216675,110.237617,-0.84077,-6.037586,-2.734589
245,0.680556,-264.67276,1449.223267,110.301949,-0.776143,-6.031142,-2.814096
246,0.683333,-264.659515,1449.227783,110.289276,-0.749518,-6.008238,-2.776282
247,0.686111,-264.642548,1449.223633,110.277664,-0.74244,-6.021856,-2.784898
248,0.688889,-264.659851,1449.231934,110.29525,-0.734487,-6.022418,-2.763424
249,0.691667,-264.660095,1449.22876,110.302368,-0.678863,-6.051126,-2.732501
250,0.694444,-264.64743,1449.230225,110.279701,-0.430705,-5.942201,-2.702883
251,0.697222,-264.657593,1449.234009,110.2967,-0.716292,-6.038486,-2.785836
252,0.7,-264.647095,1449.245483,110.294891,-0.676853,-6.035119,-2.760235
253,0.702778,-264.698303,1449.266357,110.332031,-0.655192,-6.064855,-2.649619
254,0.705556,-264.628021,1449.299072,110.307434,-0.724955,-6.072812,-2.702196
255,0.708333,-264.648407,1449.322266,110.320435,-0.732558,-6.092563,-2.670099
256,0.711111,-264.645416,1449.27063,110.280716,-0.391391,-6.007868,-2.503131
257,0.713889,-264.614441,1449.320313,110.265282,-0.751808,-6.13561,-2.625962
258,0.716667,-264.651703,1449.342163,110.307724,-0.483038,-6.013949,-2.578785
259,0.719444,-264.655212,1449.286743,110.267059,-0.441005,-6.013187,-2.478128
260,0.722222,-264.660431,1449.350952,110.319153,-0.475927,-6.071105,-2.500475
261,0.725,-264.687103,1449.305542,110.308647,-0.442212,-6.055618,-2.471064
262,0.727778,-264.859436,1449.408691,110.513062,-0.512338,-6.061371,-2.531033
263,0.730556,-264.693176,1449.315674,110.253006,-0.546685,-6.058548,-2.592357
264,0.733333,-264.676758,1449.313599,110.304962,-0.538281,-6.068442,-2.468341
265,0.736111,-264.915741,1449.362061,110.529518,-0.526359,-6.086066,-2.539115
266,0.738889,-264.897644,1449.353394,110.523064,-0.53853,-6.081915,-2.462617
267,0.741667,-264.679779,1449.306885,110.325844,-0.564731,-6.048141,-2.464748
268,0.744444,-264.674194,1449.300171,110.322739,-0.85223,-6.153086,-2.572773
269,0.747222,-264.647888,1449.272827,110.277153,-0.59516,-6.035929,-2.518373
270,0.75,-264.64563,1449.272827,110.28804,-0.907409,-6.129574,-2.591756
271,0.752778,-264.648071,1449.258789,110.279221,-0.934515,-6.117663,-2.66389
272,0.755556,-264.661041,1449.246338,110.285858,-0.978126,-6.090435,-2.70402
273,0.758333,-264.655853,1449.236694,110.285934,-0.997521,-6.048065,-2.741482
274,0.761111,-264.659973,1449.228271,110.287025,-0.991598,-6.073797,-2.724582
275,0.763889,-264.659088,1449.220459,110.265884,-1.00999,-6.051123,-2.702175
276,0.766667,-264.652954,1449.202271,110.261894,-1.054861,-6.016685,-2.78288
277,0.769444,-264.661804,1449.195801,110.272408,-1.054244,-5.997081,-2.751404
278,0.772222,-264.384308,1450.822998,110.532433,-1.084337,-5.977173,-2.80063
279,0.775,-264.675476,1449.196899,110.266525,-1.124389,-5.963943,-2.858845
280,0.777778,-264.666992,1449.207397,110.27813,-1.090683,-5.95501,-2.833438
281,0.780556,-264.674164,1449.209106,110.281227,-1.104553,-5.969156,-2.825411
