Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
53,0.147222,148.404999,-14.360825,172.86676,-264.597534,1449.27124,110.209839,-0.729991,-5.98567,-2.381445,-252.249542,1349.11853,100.129372
54,0.15,148.426163,-14.324447,172.872986,-264.611725,1449.276855,110.229507,-0.760823,-5.984644,-2.426878,-252.259613,1349.12793,100.121223
55,0.152778,148.392548,-14.331337,172.802261,-264.62149,1449.285889,110.222458,-1.042681,-6.094397,-2.509765,-252.239166,1349.074585,100.082863
56,0.155556,148.386993,-14.336,172.832413,-264.605164,1449.285156,110.229691,-0.750289,-5.976906,-2.389983,-252.256668,1349.132935,100.132614
57,0.158333,148.227097,-14.424647,172.924423,-264.584778,1449.335815,110.236191,-0.712319,-5.98373,-2.385841,-252.273285,1349.142456,100.113472
58,0.161111,148.244293,-14.422193,172.902786,-264.595825,1449.335815,110.226898,-0.720558,-5.970084,-2.403111,-252.266281,1349.144287,100.103088
59,0.163889,148.252121,-14.423367,172.896378,-264.593323,1449.340698,110.23378,-0.695296,-5.976409,-2.382134,-252.262558,1349.149536,100.097862
60,0.166667,148.206558,-14.429924,172.912384,-264.59845,1449.335938,110.232384,-0.718137,-5.9556,-2.467032,-252.268906,1349.152832,100.099434
61,0.169444,148.177414,-14.4649,172.87886,-264.59726,1449.339233,110.215134,-0.96564,-6.072894,-2.530756,-252.243393,1349.089478,100.06971
62,0.172222,148.190964,-14.433848,172.88504,-264.59433,1449.330933,110.224503,-0.960871,-6.084561,-2.451472,-252.247421,1349.097046,100.079514
63,0.175,148.190964,-14.433848,172.88504,-264.59433,1449.330933,110.224503,-0.960871,-6.084561,-2.451472,-252.247421,1349.097046,100.079514
64,0.177778,148.27803,-14.473516,172.943665,-264.60437,1449.311401,110.228836,-0.989894,-6.088756,-2.462065,-252.250854,1349.078857,100.069603
65,0.180556,148.247482,-14.484779,172.918411,-264.603149,1449.308472,110.235245,-0.986867,-6.079556,-2.470001,-252.245132,1349.068115,100.055817
66,0.183333,148.247482,-14.484779,172.918411,-264.603149,1449.308472,110.235245,-0.986867,-6.079556,-2.470001,-252.245132,1349.068115,100.055817
67,0.186111,148.247482,-14.484779,172.918411,-264.603149,1449.308472,110.235245,-0.986867,-6.079556,-2.470001,-252.245132,1349.068115,100.055817
68,0.188889,148.247482,-14.484779,172.918411,-264.603149,1449.308472,110.235245,-0.986867,-6.079556,-2.470001,-252.245132,1349.068115,100.055817
