Format Version,1.23,Take Name,Yuri_prueba3_008,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-10-24 03.34.54.705 P. M.,Total Frames in Take,10973,Total Exported Frames,10973,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002
,ID,"903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
43,0.119444,148.533813,-14.307220,172.885895,-264.670013,1449.255127,110.259254,-0.970280,-5.997212,-2.851638,-252.264435,1349.008423,100.081604
44,0.122222,148.495209,-14.344866,172.864761,-264.671448,1449.246216,110.255394,-0.992614,-5.996020,-2.773489,-252.262177,1348.997437,100.082993
45,0.125000,148.539413,-14.329604,172.927795,-264.679565,1449.229126,110.266052,-1.014501,-6.001528,-2.832497,-252.270432,1348.983154,100.066727
46,0.127778,148.566162,-14.310821,172.980713,-264.687744,1449.214478,110.279007,-1.013945,-6.019170,-2.787642,-252.275314,1348.978882,100.076447
47,0.130556,148.410507,-14.512948,173.031555,-264.653778,1449.254883,110.257233,-0.980043,-6.002910,-2.803203,-252.276779,1348.968628,100.083313
48,0.133333,148.583115,-14.416451,172.953568,-264.686218,1449.196045,110.261726,-0.999167,-5.997150,-2.821905,-252.280029,1348.955688,100.074539
49,0.136111,148.610245,-14.385756,173.024979,-264.686890,1449.182739,110.263542,-1.041563,-6.003278,-2.844131,-252.270050,1348.952759,100.064186
50,0.138889,148.596954,-14.410644,172.982452,-264.685242,1449.182251,110.264481,-1.162692,-5.786688,-3.917171,-252.368546,1349.074585,100.075653
51,0.141667,148.624420,-14.401111,172.985886,-264.692352,1449.183228,110.260826,-1.140643,-5.787022,-3.872555,-252.368835,1349.073242,100.079231
52,0.144444,148.566437,-14.386288,172.941467,-264.687714,1449.194580,110.258499,-0.940702,-5.983435,-2.850716,-252.272873,1348.940918,100.087074
