Frame,Time (Seconds),X,Y,Z,X,Y,Z
144,0.4,-264.493225,1449.287354,110.152519,-252.170654,1349.076416,100.116638
145,0.402778,-264.477844,1449.263672,110.1614,-252.176758,1349.073486,100.112808
146,0.405556,-264.472168,1449.249878,110.16806,-252.165848,1349.067993,100.106873
147,0.408333,-264.490021,1449.275391,110.155838,-252.162964,1349.065674,100.108002
148,0.411111,-264.484009,1449.246826,110.151314,-252.16684,1349.058838,100.097923
149,0.413889,-264.490051,1449.277466,110.150642,-252.159424,1349.068726,100.102882
150,0.416667,-264.47287,1449.247925,110.168846,-252.15802,1349.073242,100.11319
151,0.419444,-264.471924,1449.255737,110.157722,-252.142517,1349.09375,100.097618
152,0.422222,-264.484009,1449.263428,110.168327,-252.158249,1349.079712,100.095802
153,0.425,-263.622101,1450.73645,109.229652,-252.137131,1349.111572,100.088509
154,0.427778,-264.506165,1449.297363,110.148949,-252.165024,1349.088135,100.092964
155,0.430556,-264.492279,1449.304932,110.147224,-252.146149,1349.123047,100.087006
156,0.433333,-264.503296,1449.300415,110.149208,-252.160782,1349.179199,100.117393
157,0.436111,-264.506531,1449.312866,110.159752,-252.166336,1349.178345,100.121292
158,0.438889,-264.506012,1449.320923,110.146889,-252.163834,1349.186035,100.114441
159,0.441667,-264.507568,1449.325195,110.151924,-252.167755,1349.183228,100.120155
160,0.444444,-264.477142,1449.330322,110.083862,-252.172943,1349.196533,100.129364
161,0.447222,-264.508514,1449.337769,110.149918,-252.175385,1349.203003,100.12178
162,0.45,-264.51767,1449.338867,110.1604,-252.174881,1349.204956,100.120697
163,0.452778,-264.491028,1449.31604,110.171158,-252.175385,1349.202026,100.128754
164,0.455556,-264.514557,1449.331177,110.161888,-252.166809,1349.201904,100.122353
165,0.458333,-263.663361,1450.772339,109.228615,-252.174881,1349.193604,100.11013
166,0.461111,-264.50061,1449.305664,110.170555,-252.177155,1349.187256,100.099945
167,0.463889,-264.511932,1449.328979,110.160896,-252.176559,1349.192749,100.128212
168,0.466667,-264.502075,1449.305054,110.166077,-252.172653,1349.189453,100.126411
169,0.469444,-264.513336,1449.32251,110.171158,-252.169067,1349.18396,100.113472
170,0.472222,-264.51062,1449.314453,110.158363,-252.176193,1349.177124,100.132103
171,0.475,-263.670105,1450.750244,109.222572,-252.177155,1349.185669,100.137047
172,0.477778,-264.499298,1449.275757,110.182671,-252.18042,1349.160522,100.110329
173,0.480556,-263.669373,1450.758057,109.216919,-252.176971,1349.169922,100.113228
174,0.483333,-264.51532,1449.277588,110.17363,-252.153015,1349.108887,100.08165
175,0.486111,-263.661285,1450.749756,109.218903,-252.153519,1349.094727,100.079552
