"","t","x1","y1","z1","x2","y2","z2"
"107",0.294444,-264.3421633,1449.290137,110.1708848,-252.205838,1349.063599,100.0816574
"108",0.297222,-264.1909592,1448.984668,110.4654724,-252.2073332,1349.064502,100.0868944
"109",0.3,-264.441658,1449.295386,110.1927736,-252.2098784,1349.065674,100.0901016
"110",0.302778,-264.1830104,1449.351929,110.3405336,-252.2046814,1349.066553,100.0899964
"111",0.305556,-264.0362432,1448.959936,110.4667802,-252.2066192,1349.063452,100.0927858
"112",0.308333,-264.0941907,1448.967163,110.4571656,-252.2092256,1349.071143,100.0938766
"113",0.311111,-264.2196579,1449.184106,110.5001786,-252.2155396,1349.084448,100.1042818
"114",0.313889,-264.3211365,1449.283227,110.1717546,-252.20748,1349.072925,100.095218
"115",0.316667,-264.185351,1448.967065,110.4613616,-252.211844,1349.089404,100.1002442
"116",0.319444,-264.4522973,1449.282153,110.1723858,-252.2122222,1349.088647,100.0968124
"117",0.322222,-264.308931,1448.973437,110.463014,-252.2151062,1349.088867,100.1021956
"118",0.325,-264.2451189,1448.983032,110.4626006,-252.2172972,1349.090601,100.0950028
"119",0.327778,-264.3268378,1449.273315,110.1764314,-252.2113526,1349.081738,100.0971094
"120",0.330556,-264.3185569,1448.978271,110.4520948,-252.2108704,1349.081519,100.0982972
"121",0.333333,-264.3579459,1448.981348,110.4607024,-252.2068056,1349.083496,100.099315
"122",0.336111,-264.3888333,1449.63814,110.352417,-252.2080444,1349.085034,100.1006532
"123",0.338889,-264.2883742,1448.981763,110.464244,-252.210971,1349.095117,100.1027632
"124",0.341667,-264.2580215,1448.983595,110.4708752,-252.2059052,1349.084399,100.0985168
"125",0.344444,-264.4653416,1449.64607,110.331386,-252.20083,1349.088647,100.0949706
"126",0.347222,-264.3414527,1449.638213,110.3450912,-252.208252,1349.094019,100.0983704
"127",0.35,-264.457632,1449.638555,110.327168,-252.2007936,1349.086426,100.0892424
"128",0.352778,-264.4426846,1449.282593,110.1763702,-252.2035248,1349.096387,100.0916548
"129",0.355556,-264.1732644,1448.991162,110.4577804,-252.2017792,1349.078418,100.0913346
"130",0.358333,-264.239171,1448.982519,110.4623276,-252.1956878,1349.083862,100.1009826
"131",0.361111,-264.3372658,1449.677505,110.3391878,-252.1977874,1349.073584,100.104044
"132",0.363889,-264.5741307,1449.276294,110.1761228,-252.1966644,1349.075659,100.104691
"133",0.366667,-264.3847688,1449.633941,110.3262392,-252.1992554,1349.071777,100.1045164
"134",0.369444,-264.3570131,1449.672676,110.34245,-252.1979676,1349.075757,100.1042534
"135",0.372222,-264.5032465,1449.277173,110.1735732,-252.1976136,1349.07229,100.1040588
"136",0.375,-264.3819455,1449.365137,110.344783,-252.1939728,1349.068457,100.110811
"137",0.377778,-264.3335398,1449.276001,110.1775376,-252.1943634,1349.068335,100.1062422
"138",0.380556,-264.1561497,1448.961108,110.4726944,-252.1953126,1349.06831,100.1095952
"139",0.383333,-264.1698787,1448.969873,110.4624236,-252.1990054,1349.075976,100.1138914
"140",0.386111,-264.2036759,1448.960913,110.4628784,-252.1967834,1349.08086,100.1158554
"141",0.388889,-264.0743729,1448.957422,110.4625366,-252.2061736,1349.090039,100.11886
"142",0.391667,-264.4095612,1449.26355,110.1795682,-252.2060912,1349.088257,100.1213364
"143",0.394444,-264.1586287,1448.970947,110.453247,-252.2054532,1349.075732,100.1040132
"144",0.397222,-264.2985348,1448.96482,110.4673384,-252.204199,1349.079077,100.110849
"145",0.4,-264.2048301,1448.973877,110.467726,-252.2056976,1349.076538,100.1175826
"146",0.402778,-264.4643861,1449.279004,110.1756058,-252.2065278,1349.078735,100.1122742
